rps,cores,total requests,total responses,time,average one request time,max one request time,number of disconnects,response problems
300,1,18000,18000,75.65,19.93,34.12,0,0
300,2,18000,18000,73.92,14.24,23.14,0,0
300,3,18000,18000,70.78,10.95,12.63,0,0
300,4,18000,18000,71.83,12.23,16.04,0,0
350,1,21000,57,40.49,9.94,10.49,0,0
350,2,21000,2218,47.43,11.4,15.46,0,0
350,3,21000,1878,47.09,12.37,14.54,0,0
350,4,21000,2,35.57,4.37,5.57,0,0
400,1,24000,6914,69.57,29.07,34.75,1,0
400,2,24000,9358,74.45,29.77,37.82,0,0
400,3,24000,7566,70.79,29.67,36.21,0,0
400,4,24000,8820,70.15,27.27,35.52,0,0
500,1,30000,6187,66.49,29.03,32.34,0,0
500,2,30000,6118,62.67,25.29,29.1,0,0
500,3,30000,6108,62.34,25.08,29.37,0,0
500,4,30000,6917,65.99,27.45,31.16,1,0